term,id,preferred term
c,trm_4ebc98cc77e7b,dual-task weather prediction
t,trm_4ebc98cc77e7b,dual-task weather prediction
i,trm_4ebc98cc77e7b,dual-task weather prediction
o,trm_4ebc98cc77e7b,dual-task weather prediction
n,trm_4ebc98cc77e7b,dual-task weather prediction
l,trm_4e5fcd75efb58,thermal grill illusion
G,trm_56a9166421494,duckworth's short grit scale
R,trm_56a9166421494,duckworth's short grit scale
m,trm_4f244ad7dcde7,dot motion task
d,trm_4f244ad7dcde7,dot motion task
),trm_50f734f86b11a,emotion recognition task
n,trm_4f244ad7dcde7,dot motion task
D,trm_55a6a95f66508,dickman impulsivity inventory
I,trm_55a6a95f66508,dickman impulsivity inventory
C,trm_55a6a95f66508,dickman impulsivity inventory
K,trm_55a6a95f66508,dickman impulsivity inventory
e,trm_4ebc6a6b75ebf,tone counting
n,trm_4ebc6a6b75ebf,tone counting
D,trm_5272806688e63,differential ability scales
A,trm_5272806688e63,differential ability scales
S,trm_5272806688e63,differential ability scales
o,trm_4ebc6a6b75ebf,tone counting
t,trm_4ebc6a6b75ebf,tone counting
n,trm_4e5fcd75efb58,thermal grill illusion
d,trm_4c898bbab4fd4,divided auditory attention
i,trm_4c898bbab4fd4,divided auditory attention
v,trm_4c898bbab4fd4,divided auditory attention
i,trm_4c898bbab4fd4,divided auditory attention
d,trm_4c898bbab4fd4,divided auditory attention
e,trm_4c898bbab4fd4,divided auditory attention
d,trm_4c898bbab4fd4,divided auditory attention
 ,trm_4c898bbab4fd4,divided auditory attention
a,trm_4c898bbab4fd4,divided auditory attention
t,trm_4c898bbab4fd4,divided auditory attention
t,trm_4c898bbab4fd4,divided auditory attention
e,trm_4c898bbab4fd4,divided auditory attention
n,trm_4c898bbab4fd4,divided auditory attention
-,trm_4ebc6a6b75ebf,tone counting
c,trm_4ebc6a6b75ebf,tone counting
k,trm_4d559d2703bae,devil's task
#,trm_4d559d2703bae,devil's task
k,tsk_4a57abb9499f1,delayed nonmatch to sample task
n,trm_4ebc6a6b75ebf,tone counting
u,trm_4ebc6a6b75ebf,tone counting
o,trm_4ebc6a6b75ebf,tone counting
S,trm_4d559d2703bae,devil's task
l,trm_4d559d2703bae,devil's task
o,trm_4d559d2703bae,devil's task
v,trm_4d559d2703bae,devil's task
i,trm_4d559d2703bae,devil's task
c,trm_4d559d2703bae,devil's task
&,trm_4d559d2703bae,devil's task
3,trm_4d559d2703bae,devil's task
s,trm_4d559d2703bae,devil's task
9,trm_4d559d2703bae,devil's task
;,trm_4d559d2703bae,devil's task
s,trm_4d559d2703bae,devil's task
 ,trm_4d559d2703bae,devil's task
r,trm_4d559d2703bae,devil's task
i,trm_4d559d2703bae,devil's task
s,trm_4d559d2703bae,devil's task
k,trm_4d559d2703bae,devil's task
 ,trm_4d559d2703bae,devil's task
t,trm_4d559d2703bae,devil's task
a,trm_4d559d2703bae,devil's task
t,trm_4c898bbab4fd4,divided auditory attention
i,trm_4c898bbab4fd4,divided auditory attention
o,trm_4c898bbab4fd4,divided auditory attention
 ,trm_4f244ad7dcde7,dot motion task
g,trm_4f244ad7dcde7,dot motion task
-,trm_4f244ad7dcde7,dot motion task
d,trm_4f244ad7dcde7,dot motion task
o,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
 ,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
a,trm_4f244ad7dcde7,dot motion task
s,trm_4f244ad7dcde7,dot motion task
k,trm_4f244ad7dcde7,dot motion task
",",trm_4f244ad7dcde7,dot motion task
R,trm_4f244ad7dcde7,dot motion task
i,trm_4f244ad7dcde7,dot motion task
D,trm_4f244ad7dcde7,dot motion task
M,trm_4f244ad7dcde7,dot motion task
 ,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
a,trm_4f244ad7dcde7,dot motion task
s,trm_4f244ad7dcde7,dot motion task
k,trm_4f244ad7dcde7,dot motion task
",",trm_4f244ad7dcde7,dot motion task
 ,trm_4f244ad7dcde7,dot motion task
r,trm_4f244ad7dcde7,dot motion task
a,trm_4f244ad7dcde7,dot motion task
n,trm_4f244ad7dcde7,dot motion task
v,trm_4f244ad7dcde7,dot motion task
n,trm_4c898bbab4fd4,divided auditory attention
o,trm_4f244ad7dcde7,dot motion task
 ,trm_4c898bbab4fd4,divided auditory attention
t,trm_4c898bbab4fd4,divided auditory attention
e,trm_4c898bbab4fd4,divided auditory attention
s,trm_4c898bbab4fd4,divided auditory attention
t,trm_4c898bbab4fd4,divided auditory attention
o,trm_4e5fcd75efb58,thermal grill illusion
d,trm_4f244ad7dcde7,dot motion task
o,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
-,trm_4f244ad7dcde7,dot motion task
m,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
o,trm_4f244ad7dcde7,dot motion task
i,trm_4f244ad7dcde7,dot motion task
o,trm_4f244ad7dcde7,dot motion task
n,trm_4f244ad7dcde7,dot motion task
 ,trm_4f244ad7dcde7,dot motion task
t,trm_4f244ad7dcde7,dot motion task
a,trm_4f244ad7dcde7,dot motion task
s,trm_4f244ad7dcde7,dot motion task
k,trm_4f244ad7dcde7,dot motion task
",",trm_4f244ad7dcde7,dot motion task
 ,trm_4f244ad7dcde7,dot motion task
m,trm_4f244ad7dcde7,dot motion task
T,trm_50f734f86b11a,emotion recognition task
T,trm_4e5fcd75efb58,thermal grill illusion
o,trm_4f241c8d4a75c,gender discrimination task
a,trm_4f2421a62cdf8,face working memory task
a,trm_4f24226fa2903,fitts task
p,trm_4f24226fa2903,fitts task
p,trm_4f24226fa2903,fitts task
i,trm_4f24226fa2903,fitts task
n,trm_4f24226fa2903,fitts task
g,trm_4f24226fa2903,fitts task
 ,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
a,trm_4f24226fa2903,fitts task
s,trm_4f24226fa2903,fitts task
k,trm_4f24226fa2903,fitts task
T,tsk_4a57abb949ea5,test of word reading efficiency
.,trm_4da86cdbd9eeb,test of variables of attention
A,trm_4da86cdbd9eeb,test of variables of attention
.,trm_4da86cdbd9eeb,test of variables of attention
V,trm_4da86cdbd9eeb,test of variables of attention
.,trm_4da86cdbd9eeb,test of variables of attention
O,trm_4da86cdbd9eeb,test of variables of attention
F,trm_56a915fe77945,future time perspective questionnaire
T,trm_56a915fe77945,future time perspective questionnaire
P,trm_56a915fe77945,future time perspective questionnaire
.,trm_4da86cdbd9eeb,test of variables of attention
g,trm_550b5c1a7f4db,gambling fmri task paradigm
a,trm_550b5c1a7f4db,gambling fmri task paradigm
m,trm_550b5c1a7f4db,gambling fmri task paradigm
t,trm_4f24226fa2903,fitts task
 ,trm_4f24226fa2903,fitts task
s,trm_4f24226fa2903,fitts task
3,trm_4f24226fa2903,fitts task
k,trm_4f2421a62cdf8,face working memory task
R,tsk_4a57abb949ea5,test of word reading efficiency
W,tsk_4a57abb949ea5,test of word reading efficiency
O,tsk_4a57abb949ea5,test of word reading efficiency
F,trm_4f24226fa2903,fitts task
i,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
s,trm_4f24226fa2903,fitts task
&,trm_4f24226fa2903,fitts task
#,trm_4f24226fa2903,fitts task
9,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
;,trm_4f24226fa2903,fitts task
 ,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
a,trm_4f24226fa2903,fitts task
s,trm_4f24226fa2903,fitts task
k,trm_4f24226fa2903,fitts task
",",trm_4f24226fa2903,fitts task
 ,trm_4f24226fa2903,fitts task
F,trm_4f24226fa2903,fitts task
i,trm_4f24226fa2903,fitts task
t,trm_4f24226fa2903,fitts task
b,trm_550b5c1a7f4db,gambling fmri task paradigm
l,trm_550b5c1a7f4db,gambling fmri task paradigm
i,trm_550b5c1a7f4db,gambling fmri task paradigm
 ,trm_4f241c8d4a75c,gender discrimination task
g,trm_4f241c8d4a75c,gender discrimination task
m,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
n,trm_4f241c8d4a75c,gender discrimination task
t,trm_4f241c8d4a75c,gender discrimination task
 ,trm_4f241c8d4a75c,gender discrimination task
t,trm_4f241c8d4a75c,gender discrimination task
a,trm_4f241c8d4a75c,gender discrimination task
s,trm_4f241c8d4a75c,gender discrimination task
k,trm_4f241c8d4a75c,gender discrimination task
",",trm_4f241c8d4a75c,gender discrimination task
g,trm_4f241c8d4a75c,gender discrimination task
u,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
n,trm_4f241c8d4a75c,gender discrimination task
d,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
r,trm_4f241c8d4a75c,gender discrimination task
 ,trm_4f241c8d4a75c,gender discrimination task
d,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
c,trm_4f241c8d4a75c,gender discrimination task
i,trm_4f241c8d4a75c,gender discrimination task
s,trm_4f241c8d4a75c,gender discrimination task
d,trm_4f241c8d4a75c,gender discrimination task
j,trm_4f241c8d4a75c,gender discrimination task
n,trm_550b5c1a7f4db,gambling fmri task paradigm
e,trm_4f24496a80587,gambling task
g,trm_550b5c1a7f4db,gambling fmri task paradigm
 ,trm_550b5c1a7f4db,gambling fmri task paradigm
t,trm_550b5c1a7f4db,gambling fmri task paradigm
a,trm_550b5c1a7f4db,gambling fmri task paradigm
s,trm_550b5c1a7f4db,gambling fmri task paradigm
k,trm_550b5c1a7f4db,gambling fmri task paradigm
g,trm_4f24496a80587,gambling task
a,trm_4f24496a80587,gambling task
m,trm_4f24496a80587,gambling task
b,trm_4f24496a80587,gambling task
l,trm_4f24496a80587,gambling task
 ,trm_4f24496a80587,gambling task
 ,trm_4f241c8d4a75c,gender discrimination task
t,trm_4f24496a80587,gambling task
a,trm_4f24496a80587,gambling task
s,trm_4f24496a80587,gambling task
k,trm_4f24496a80587,gambling task
T,trm_4da86cdbd9eeb,test of variables of attention
g,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
n,trm_4f241c8d4a75c,gender discrimination task
d,trm_4f241c8d4a75c,gender discrimination task
e,trm_4f241c8d4a75c,gender discrimination task
r,trm_4f241c8d4a75c,gender discrimination task
s,trm_4f2421a62cdf8,face working memory task
t,trm_4f2421a62cdf8,face working memory task
k,trm_4c8a8467304e2,theory of mind task
 ,trm_4f2421a62cdf8,face working memory task
a,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
k,tsk_4a57abb949a4f,eriksen flanker task
e,tsk_4a57abb949a4f,eriksen flanker task
r,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
I,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
h,tsk_4a57abb949a4f,eriksen flanker task
i,tsk_4a57abb949a4f,eriksen flanker task
b,tsk_4a57abb949a4f,eriksen flanker task
i,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
r,tsk_4a57abb949a4f,eriksen flanker task
y,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
C,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
r,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
l,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
l,tsk_4a57abb949a4f,eriksen flanker task
F,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
k,tsk_4a57abb949a4f,eriksen flanker task
f,tsk_4a57abb949a4f,eriksen flanker task
l,tsk_4a57abb949a4f,eriksen flanker task
a,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
k,tsk_4a57abb949a4f,eriksen flanker task
e,tsk_4a57abb949a4f,eriksen flanker task
r,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
a,tsk_4a57abb949a4f,eriksen flanker task
s,tsk_4a57abb949a4f,eriksen flanker task
",",tsk_4a57abb949a4f,eriksen flanker task
x,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
N,tsk_4a57abb949a4f,eriksen flanker task
I,tsk_4a57abb949a4f,eriksen flanker task
H,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
T,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
l,tsk_4a57abb949a4f,eriksen flanker task
b,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
a,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
d,tsk_4a57abb949a4f,eriksen flanker task
 ,trm_55a6ae8f44ac3,eysenck personality questionnaire
t,trm_4c8a8467304e2,theory of mind task
E,trm_52602e2e0c43b,expressive vocabulary test
V,trm_52602e2e0c43b,expressive vocabulary test
T,trm_52602e2e0c43b,expressive vocabulary test
 ,trm_4c8a8467304e2,theory of mind task
M,trm_4c8a8467304e2,theory of mind task
O,trm_4c8a8467304e2,theory of mind task
E,trm_55a6ae8f44ac3,eysenck personality questionnaire
P,trm_55a6ae8f44ac3,eysenck personality questionnaire
Q,trm_55a6ae8f44ac3,eysenck personality questionnaire
",",trm_55a6ae8f44ac3,eysenck personality questionnaire
E,trm_55a6ae8f44ac3,eysenck personality questionnaire
V,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
P,trm_55a6ae8f44ac3,eysenck personality questionnaire
I,trm_55a6ae8f44ac3,eysenck personality questionnaire
T,trm_4c8a8467304e2,theory of mind task
E,tsk_4a57abb949ea5,test of word reading efficiency
f,trm_4f2421a62cdf8,face working memory task
a,trm_4f2421a62cdf8,face working memory task
c,trm_4f2421a62cdf8,face working memory task
e,trm_4f2421a62cdf8,face working memory task
 ,trm_4f2421a62cdf8,face working memory task
w,trm_4f2421a62cdf8,face working memory task
m,trm_4f2421a62cdf8,face working memory task
T,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
P,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
 ,tsk_4a57abb949a4f,eriksen flanker task
e,tsk_4a57abb949a4f,eriksen flanker task
A,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
e,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
t,tsk_4a57abb949a4f,eriksen flanker task
i,tsk_4a57abb949a4f,eriksen flanker task
o,tsk_4a57abb949a4f,eriksen flanker task
n,tsk_4a57abb949a4f,eriksen flanker task
 ,tsk_4a57abb949a4f,eriksen flanker task
T,tsk_4a57abb949a4f,eriksen flanker task
s,tsk_4a57abb949a4f,eriksen flanker task
W,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
t,tsk_4a57abb949a4f,eriksen flanker task
s,trm_4c8a8467304e2,theory of mind task
E,trm_5262c98a09546,expressive one word-picture vocabulary test
O,trm_5262c98a09546,expressive one word-picture vocabulary test
W,trm_5262c98a09546,expressive one word-picture vocabulary test
P,trm_5262c98a09546,expressive one word-picture vocabulary test
V,trm_5262c98a09546,expressive one word-picture vocabulary test
T,trm_5262c98a09546,expressive one word-picture vocabulary test
a,trm_4c8a8467304e2,theory of mind task
E,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
O,trm_5298f15fe0fcf,expressive one-word picture vocabulary test
s,tsk_4a57abb9499f1,delayed nonmatch to sample task
a,tsk_4a57abb9499f1,delayed nonmatch to sample task
t,tsk_4a57abb9499f1,delayed nonmatch to sample task
e,trm_4c8a84825c4e4,tone monitor/discrimination
 ,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
a,trm_4b1968619b00b,color-word stroop task
s,trm_4b1968619b00b,color-word stroop task
k,trm_4b1968619b00b,color-word stroop task
",",trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
S,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
p,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
c,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
l,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
-,trm_4b1968619b00b,color-word stroop task
w,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
d,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
d,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
S,trm_4b1968619b00b,color-word stroop task
o,trm_4c8a84825c4e4,tone monitor/discrimination
t,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_56675359b663a,cognitive reflection test
R,trm_56675359b663a,cognitive reflection test
T,trm_56675359b663a,cognitive reflection test
 ,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_4da633fe917c4,color trails test
T,trm_4da633fe917c4,color trails test
T,trm_4da633fe917c4,color trails test
",",trm_4c8a84825c4e4,tone monitor/discrimination
k,trm_4c8a84825c4e4,tone monitor/discrimination
t,trm_4b1968619b00b,color-word stroop task
w,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
p,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
c,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
l,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
-,trm_4b1968619b00b,color-word stroop task
i,trm_4b1968619b00b,color-word stroop task
n,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
s,trm_4c8a84825c4e4,tone monitor/discrimination
n,trm_4b1968619b00b,color-word stroop task
a,trm_4b1968619b00b,color-word stroop task
m,trm_4b1968619b00b,color-word stroop task
i,trm_4b1968619b00b,color-word stroop task
n,trm_4b1968619b00b,color-word stroop task
g,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
a,trm_4b1968619b00b,color-word stroop task
s,trm_4b1968619b00b,color-word stroop task
k,trm_4b1968619b00b,color-word stroop task
C,trm_5667492c555b7,columbia card task
r,trm_4b1968619b00b,color-word stroop task
C,trm_5667492c555b7,columbia card task
T,trm_5667492c555b7,columbia card task
a,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_52718631bc934,communication and symbolic behavior scales development profile
S,trm_52718631bc934,communication and symbolic behavior scales development profile
B,trm_52718631bc934,communication and symbolic behavior scales development profile
S,trm_52718631bc934,communication and symbolic behavior scales development profile
t,trm_4c8a84825c4e4,tone monitor/discrimination
 ,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_526027c99b726,comprehensive test of phonological processing
T,trm_526027c99b726,comprehensive test of phonological processing
 ,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
e,trm_4b1968619b00b,color-word stroop task
s,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
f,trm_4b1968619b00b,color-word stroop task
e,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
e,trm_4b1968619b00b,color-word stroop task
n,trm_4b1968619b00b,color-word stroop task
c,trm_4b1968619b00b,color-word stroop task
e,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
a,trm_4b1968619b00b,color-word stroop task
k,trm_4b1968619b00b,color-word stroop task
l,trm_4b1968619b00b,color-word stroop task
",",trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
S,trm_4b1968619b00b,color-word stroop task
t,trm_4b1968619b00b,color-word stroop task
r,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
p,trm_4b1968619b00b,color-word stroop task
 ,trm_4b1968619b00b,color-word stroop task
c,trm_4b1968619b00b,color-word stroop task
o,trm_4b1968619b00b,color-word stroop task
n,trm_4c8a84825c4e4,tone monitor/discrimination
 ,trm_4c8a84825c4e4,tone monitor/discrimination
 ,tsk_4a57abb9499f1,delayed nonmatch to sample task
t,trm_4b843655d5d75,chimeric animal stroop task
G,trm_4d54b2cc0f943,cambridge gambling task
T,trm_4d54b2cc0f943,cambridge gambling task
s,trm_4c8a84825c4e4,tone monitor/discrimination
a,trm_4c8a84825c4e4,tone monitor/discrimination
t,trm_4c8a84825c4e4,tone monitor/discrimination
 ,trm_4c8a84825c4e4,tone monitor/discrimination
g,trm_4c8a84825c4e4,tone monitor/discrimination
n,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_4da86c6808ddd,cattell's culture fair intelligence test
C,trm_4da86c6808ddd,cattell's culture fair intelligence test
F,trm_4da86c6808ddd,cattell's culture fair intelligence test
I,trm_4da86c6808ddd,cattell's culture fair intelligence test
T,trm_4da86c6808ddd,cattell's culture fair intelligence test
",",trm_4da86c6808ddd,cattell's culture fair intelligence test
 ,trm_4da86c6808ddd,cattell's culture fair intelligence test
C,trm_4da86c6808ddd,cattell's culture fair intelligence test
F,trm_4da86c6808ddd,cattell's culture fair intelligence test
I,trm_4da86c6808ddd,cattell's culture fair intelligence test
T,trm_4da86c6808ddd,cattell's culture fair intelligence test
i,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_5258346e72223,center for epidemiologic studies depression scale
E,trm_5258346e72223,center for epidemiologic studies depression scale
S,trm_5258346e72223,center for epidemiologic studies depression scale
-,trm_5258346e72223,center for epidemiologic studies depression scale
D,trm_5258346e72223,center for epidemiologic studies depression scale
C,trm_4d54b2cc0f943,cambridge gambling task
k,trm_4c8a84825c4e4,tone monitor/discrimination
T,trm_4da87e7282f92,tower of hanoi
B,trm_52405b6f7ebe9,brief symptom inventory
T,tsk_4a57abb9498ef,boston naming test
B,trm_55a6a52537c2b,brief psychiatric rating scale
P,trm_55a6a52537c2b,brief psychiatric rating scale
R,trm_55a6a52537c2b,brief psychiatric rating scale
S,trm_55a6a52537c2b,brief psychiatric rating scale
L,trm_4da87e439c411,tower of london
B,trm_56a915461cd91,brief self control scale
S,trm_56a915461cd91,brief self control scale
C,trm_56a915461cd91,brief self control scale
S,trm_56a915461cd91,brief self control scale
o,trm_4da87e439c411,tower of london
S,trm_52405b6f7ebe9,brief symptom inventory
o,trm_4da87e7282f92,tower of hanoi
I,trm_52405b6f7ebe9,brief symptom inventory
T,trm_4da87e439c411,tower of london
B,trm_523dfd5b7a9f1,broad autism phenotype questionnaire
A,trm_523dfd5b7a9f1,broad autism phenotype questionnaire
P,trm_523dfd5b7a9f1,broad autism phenotype questionnaire
H,trm_4da87e7282f92,tower of hanoi
B,trm_524055ac4fecf,broader phenotype autism symptom scale
P,trm_524055ac4fecf,broader phenotype autism symptom scale
A,trm_524055ac4fecf,broader phenotype autism symptom scale
S,trm_524055ac4fecf,broader phenotype autism symptom scale
S,trm_524055ac4fecf,broader phenotype autism symptom scale
r,trm_4c8a84825c4e4,tone monitor/discrimination
o,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_524b4a402c87e,child behavior checklist
a,trm_4b843655d5d75,chimeric animal stroop task
e,trm_4b843655d5d75,chimeric animal stroop task
r,trm_4b843655d5d75,chimeric animal stroop task
i,trm_4b843655d5d75,chimeric animal stroop task
c,trm_4b843655d5d75,chimeric animal stroop task
a,trm_4b843655d5d75,chimeric animal stroop task
l,trm_4b843655d5d75,chimeric animal stroop task
 ,trm_4b843655d5d75,chimeric animal stroop task
a,trm_4b843655d5d75,chimeric animal stroop task
n,trm_4b843655d5d75,chimeric animal stroop task
i,trm_4b843655d5d75,chimeric animal stroop task
m,trm_4b843655d5d75,chimeric animal stroop task
l,trm_4b843655d5d75,chimeric animal stroop task
i,trm_4b843655d5d75,chimeric animal stroop task
 ,trm_4b843655d5d75,chimeric animal stroop task
S,trm_4b843655d5d75,chimeric animal stroop task
t,trm_4b843655d5d75,chimeric animal stroop task
r,trm_4b843655d5d75,chimeric animal stroop task
o,trm_4b843655d5d75,chimeric animal stroop task
o,trm_4b843655d5d75,chimeric animal stroop task
p,trm_4b843655d5d75,chimeric animal stroop task
 ,trm_4b843655d5d75,chimeric animal stroop task
t,trm_4b843655d5d75,chimeric animal stroop task
e,trm_4b843655d5d75,chimeric animal stroop task
s,trm_4b843655d5d75,chimeric animal stroop task
m,trm_4b843655d5d75,chimeric animal stroop task
h,trm_4b843655d5d75,chimeric animal stroop task
B,trm_524b4a402c87e,child behavior checklist
C,trm_525c56680c13c,children's psychiatric rating scale
C,trm_524b4a402c87e,child behavior checklist
L,trm_524b4a402c87e,child behavior checklist
t,trm_4c8a84825c4e4,tone monitor/discrimination
D,trm_4dadbe225bdf1,spatial delayed response task
C,trm_5255c99be1e53,children's communication checklist
C,trm_5255c99be1e53,children's communication checklist
i,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_52167db323438,children's memory scale
M,trm_52167db323438,children's memory scale
S,trm_52167db323438,children's memory scale
n,trm_4c8a84825c4e4,tone monitor/discrimination
P,trm_525c56680c13c,children's psychiatric rating scale
c,trm_4b843655d5d75,chimeric animal stroop task
R,trm_525c56680c13c,children's psychiatric rating scale
S,trm_525c56680c13c,children's psychiatric rating scale
o,trm_4c8a84825c4e4,tone monitor/discrimination
C,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
Y,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
-,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
B,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
O,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
C,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
S,trm_52602c143d3a9,children's yale-brown obsessive compulsive scale
m,trm_4c8a84825c4e4,tone monitor/discrimination
O,trm_526027c99b726,comprehensive test of phonological processing
P,trm_526027c99b726,comprehensive test of phonological processing
P,trm_526027c99b726,comprehensive test of phonological processing
n,trm_4c8a84825c4e4,tone monitor/discrimination
t,tsk_4a57abb9499e3,delayed match to sample task
a,tsk_4a57abb9499e3,delayed match to sample task
s,tsk_4a57abb9499e3,delayed match to sample task
k,tsk_4a57abb9499e3,delayed match to sample task
",",tsk_4a57abb9499e3,delayed match to sample task
 ,tsk_4a57abb9499e3,delayed match to sample task
d,tsk_4a57abb9499e3,delayed match to sample task
e,tsk_4a57abb9499e3,delayed match to sample task
l,tsk_4a57abb9499e3,delayed match to sample task
a,tsk_4a57abb9499e3,delayed match to sample task
